Player,Season,Age,Team,Cmp,PassAtt,Cmp_p,PassYds,PassTD,Int,PassTD_p,Int_p,Pos,ID
Dyami Brown,2024,25,WAS,0,1,0,0,0,0,0,0,WR,BrowDy00
Dyami Brown,2023,24,WAS,1,1,100,4,0,0,0,0,WR,BrowDy00
Rex Burkhead,2022,32,HOU,0,1,0,0,0,0,0,0,RB,BurkRe00
Ja'Marr Chase,2023,23,CIN,1,1,100,-7,0,0,0,0,WR,ChasJa00
Chase Claypool,2022,24,CHIPIT,1,1,100,1,1,0,100,0,WR,ClayCh01
Sean Clifford,2023,25,GNB,1,1,100,37,0,0,0,0,QB,ClifSe00
Jalen Coker,2024,23,CAR,1,1,100,19,0,0,0,0,WR,CokeJa01
AJ Cole III,2024,29,LVR,1,1,100,34,0,0,0,0,P,ColeAJ01
Logan Cooke,2023,28,JAX,1,1,100,13,0,0,0,0,P,CookLo00
Amari Cooper,2022,28,CLE,0,1,0,0,0,1,0,100,WR,CoopAm00
DeeJay Dallas,2022,24,SEA,0,1,0,0,0,1,0,100,RB,DallDe00
Stefon Diggs,2024,31,HOU,1,1,100,13,0,0,0,0,WR,DiggSt00
Riley Dixon,2024,31,DEN,1,1,100,3,0,0,0,0,P,DixoRi00
Phillip Dorsett,2022,29,HOU,0,1,0,0,0,0,0,0,WR,DorsPh00
Leonard Fournette,2022,27,TAM,0,1,0,0,0,1,0,100,RB,FourLe00
Jack Fox,2024,28,DET,1,1,100,17,0,0,0,0,P,FoxxJa01
Jack Fox,2022,26,DET,1,1,100,6,0,0,0,0,P,FoxxJa01
Kenneth Gainwell,2023,24,PHI,1,1,100,17,0,0,0,0,RB,GainKe00
Chris Godwin,2023,27,TAM,0,1,0,0,0,0,0,0,WR,GodwCh00
Najee Harris,2022,24,PIT,1,1,100,4,0,0,0,0,RB,HarrNa00
Johnny Hekker,2023,33,CAR,1,1,100,7,0,0,0,0,P,HekkJo00
Connor Heyward,2023,24,PIT,0,1,0,0,0,0,0,0,TE,HeywCo00
Mack Hollins,2022,29,LVR,1,1,100,4,0,0,0,0,WR,HollMa00
DeAndre Hopkins,2023,31,TEN,0,1,0,0,0,0,0,0,WR,HopkDe00
Justin Jefferson,2023,24,MIN,0,1,0,0,0,0,0,0,WR,JeffJu00
Justin Jefferson,2024,25,MIN,1,1,100,22,0,0,0,0,WR,JeffJu00
Miles Killebrew,2024,31,PIT,0,1,0,0,0,0,0,0,S,KillMi00
Christian Kirk,2022,26,JAX,0,1,0,0,0,0,0,0,WR,KirkCh01
Cooper Kupp,2022,29,LAR,0,1,0,0,0,0,0,0,WR,KuppCo00
Allen Lazard,2024,29,NYJ,0,1,0,0,0,0,0,0,WR,LazaAl00
Andy Lee,2022,40,ARI,1,1,100,4,0,0,0,0,P,LeexAn20
Drake London,2023,22,ATL,1,1,100,22,0,0,0,0,WR,LondDr00
Braden Mann,2023,26,PHI,1,1,100,28,0,0,0,0,P,MannBr01
Christian McCaffrey,2022,26,CARSFO,1,1,100,34,1,0,100,0,RB,McCaCh01
Jerick McKinnon,2023,31,KAN,1,1,100,4,1,0,100,0,RB,McKiJe00
Adonai Mitchell,2024,22,IND,1,1,100,24,0,0,0,0,WR,MitcAd00
Joe Mixon,2024,28,HOU,0,1,0,0,0,0,0,0,RB,MixoJo00
David Montgomery,2024,27,DET,1,1,100,3,1,0,100,0,RB,MontDa01
Darnell Mooney,2024,27,ATL,0,1,0,0,0,0,0,0,WR,MoonDa00
D.J. Moore,2024,27,CHI,0,1,0,0,0,0,0,0,WR,MoorD.00
Thomas Morstead,2023,37,NYJ,1,1,100,18,0,0,0,0,P,MorsTh00
Malik Nabers,2024,21,NYG,0,1,0,0,0,0,0,0,WR,NabeMa00
Ricky Pearsall,2024,24,SFO,0,1,0,0,0,0,0,0,WR,PearRi00
James Proche,2022,26,BAL,0,1,0,0,0,1,0,100,WR,ProcJa00
Jalen Reeves-Maybin,2023,28,DET,1,1,100,31,0,0,0,0,LB,ReevJa00
Aaron Rodgers,2023,40,NYJ,0,1,0,0,0,0,0,0,QB,RodgAa00
Deebo Samuel,2023,27,SFO,0,1,0,0,0,0,0,0,WR,SamuDe00
JK Scott,2024,29,LAC,1,1,100,3,0,0,0,0,P,ScotJK00
Devin Singletary,2023,26,HOU,1,1,100,6,1,0,100,0,RB,SingDe00
Jaxon Smith-Njigba,2024,22,SEA,1,1,100,35,0,0,0,0,WR,SmitJa06
Jonnu Smith,2023,28,ATL,0,1,0,0,0,0,0,0,TE,SmitJo01
Amon-Ra St. Brown,2024,25,DET,1,1,100,7,1,0,100,0,WR,StxxAm00
Kadarius Toney,2023,24,KAN,0,1,0,0,0,0,0,0,WR,ToneKa00
Tommy Townsend,2023,27,KAN,1,1,100,11,0,0,0,0,P,TownTo01
Tommy Townsend,2022,26,KAN,0,1,0,0,0,0,0,0,P,TownTo01
Kyle Trask,2024,26,TAM,1,1,100,5,0,0,0,0,QB,TrasKy00
Kyle Trask,2023,25,TAM,0,1,0,0,0,0,0,0,QB,TrasKy00
Dontayvion Wicks,2023,22,GNB,1,1,100,14,0,0,0,0,WR,WickDo00
Cedrick Wilson Jr.,2024,29,NOR,1,1,100,21,1,0,100,0,WR,WilsCe01
Garrett Wilson,2022,22,NYJ,0,1,0,0,0,0,0,0,WR,WilsGa00
Garrett Wilson,2023,23,NYJ,0,1,0,0,0,0,0,0,WR,WilsGa00
