Player,Season,Age,Team,RushAtt,RushYds,RushTD,Pos,ID
Royce Freeman,2022,26,HOU,41,117,0,RB,FreeRo00
D'Ernest Johnson,2023,27,JAX,41,108,0,RB,JohnDE04
Ty Johnson,2024,27,BUF,41,213,1,RB,JohnTy02
Kendre Miller,2023,21,NOR,41,156,1,RB,MillKe01
Craig Reynolds,2023,27,DET,41,179,1,RB,ReynCr00
Jeff Wilson,2023,28,MIA,41,188,0,RB,WilsJe01
Daniel Jones,2023,26,NYG,40,206,1,QB,JoneDa05
Jordan Mason,2023,24,SFO,40,206,3,RB,MasoJo00
Dameon Pierce,2024,24,HOU,40,293,2,RB,PierDa01
Taysom Hill,2024,34,NOR,39,278,6,TE,HillTa00
Sincere McCormick,2024,24,LVR,39,183,0,RB,McCoSi00
Kendre Miller,2024,22,NOR,39,148,1,RB,MillKe01
Brock Purdy,2023,24,SFO,39,144,2,QB,PurdBr00
C.J. Stroud,2023,22,HOU,39,167,3,QB,StroCJ00
Patrick Taylor,2024,26,SFO,39,183,1,RB,TaylPa01
Bryce Young,2023,22,CAR,39,253,0,QB,YounBr01
Malik Davis,2022,24,DAL,38,161,1,RB,DaviMa02
Curtis Samuel,2022,26,WAS,38,187,1,WR,SamuCu00
Tyrod Taylor,2023,34,NYG,38,197,0,QB,TaylTy00
Deebo Samuel,2023,27,SFO,37,225,5,WR,SamuDe00
Geno Smith,2023,33,SEA,37,155,1,QB,SmitGe00
Isaiah Spiller,2023,22,LAC,37,96,0,RB,SpilIs00
Jonathan Williams,2022,28,WAS,37,152,0,RB,WillJo07
Chris Brooks,2024,24,GNB,36,183,1,RB,BrooCh00
Tommy DeVito,2023,25,NYG,36,195,1,QB,DeViTo00
Khalil Herbert,2024,26,CHICIN,36,130,1,RB,HerbKh00
Sony Michel,2022,27,LAC,36,106,0,RB,MichSo00
Deshaun Watson,2022,27,CLE,36,175,1,QB,WatsDe00
Zach Wilson,2023,24,NYJ,36,211,0,QB,WilsZa00
Michael Carter,2024,25,ARI,35,131,1,RB,CartMi03
DeeJay Dallas,2022,24,SEA,35,186,0,RB,DallDe00
Jared Goff,2024,30,DET,35,56,0,QB,GoffJa00
Keaontay Ingram,2023,24,ARI,35,74,0,RB,IngrKe01
Chris Rodriguez,2024,24,WAS,35,173,2,RB,RodrCh00
Trey Sermon,2023,24,IND,35,160,0,RB,SermTr00
Tua Tagovailoa,2023,25,MIA,35,74,0,QB,TagoTu00
Kyren Williams,2022,22,LAR,35,139,0,RB,WillKy02
Tyrion Davis-Price,2022,22,SFO,34,99,0,RB,DaviTy03
Hassan Haskins,2024,25,LAC,34,89,2,RB,HaskHa00
Gardner Minshew II,2023,27,IND,34,100,3,QB,MinsGa00
Aaron Rodgers,2022,39,GNB,34,94,1,QB,RodgAa00
Ryan Tannehill,2022,34,TEN,34,98,2,QB,TannRy00
Derek Carr,2023,32,NOR,32,40,0,QB,CarrDe02
Darrynton Evans,2023,25,CHIMIA,32,121,1,RB,EvanDa02
Jared Goff,2023,29,DET,32,21,2,QB,GoffJa00
Tyler Goodson,2024,24,IND,32,153,1,RB,GoodTy00
D'Ernest Johnson,2024,28,JAX,32,143,0,RB,JohnDE04
Davis Mills,2022,24,HOU,32,108,2,QB,MillDa02
Cordarrelle Patterson,2024,33,PIT,32,135,0,RB,PattCo00
Ronnie Rivers,2023,24,LAR,32,129,0,RB,RiveRo01
Patrick Taylor,2023,25,GNB,32,141,0,RB,TaylPa01
Gary Brightwell,2022,23,NYG,31,141,1,RB,BrigGa00
Joe Burrow,2023,27,CIN,31,88,0,QB,BurrJo01
Kirk Cousins,2022,34,MIN,31,97,2,QB,CousKi00
Baker Mayfield,2022,27,CARLAR,31,89,1,QB,MayfBa00
Kenny McIntosh,2024,24,SEA,31,172,0,RB,McInKe00
Craig Reynolds,2024,28,DET,31,139,0,RB,ReynCr00
Deshaun Watson,2024,29,CLE,31,148,1,QB,WatsDe00
Michael Carter,2023,24,ARINYJ,30,187,0,RB,CartMi03
Andy Dalton,2022,35,NOR,30,54,0,QB,DaltAn00
Isaiah Davis,2024,22,NYJ,30,174,1,RB,DaviIs00
Ty Johnson,2022,25,NYJ,30,160,1,RB,JohnTy02
Ty Johnson,2023,26,BUF,30,132,0,RB,JohnTy02
Dare Ogunbowale,2024,30,HOU,30,112,0,RB,OgunDa00
Will Shipley,2024,22,PHI,30,82,0,RB,ShipWi00
Matthew Stafford,2024,36,LAR,30,41,0,QB,StafMa00
Tom Brady,2022,45,TAM,29,-1,1,QB,BradTo00
Jared Goff,2022,28,DET,29,73,0,QB,GoffJa00
Nick Chubb,2023,28,CLE,28,170,0,RB,ChubNi00
Taylor Heinicke,2022,29,WAS,28,96,1,QB,HeinTa00
Mac Jones,2024,26,JAX,28,92,1,QB,JoneMa05
Rondale Moore,2023,23,ARI,28,178,1,WR,MoorRo02
Zach Wilson,2022,23,NYJ,28,102,1,QB,WilsZa00
Jake Browning,2023,27,CIN,27,127,3,QB,BrowJa08
Keaontay Ingram,2022,23,ARI,27,60,1,RB,IngrKe01
Matt Ryan,2022,37,IND,27,70,1,QB,RyanMa00
Easton Stick,2023,28,LAC,27,144,1,QB,SticEa00
Malik Willis,2022,23,TEN,27,123,1,QB,WillMa12
Rex Burkhead,2022,32,HOU,26,80,0,RB,BurkRe00
Sam Darnold,2022,25,CAR,26,106,2,QB,DarnSa00
Melvin Gordon,2023,30,BAL,26,81,1,RB,GordMe00
Tyler Huntley,2024,26,MIA,26,135,2,QB,HuntTy01
Mac Jones,2023,25,NWE,26,96,0,QB,JoneMa05
Tony Jones,2023,26,ARINOR,26,95,2,RB,JoneTo04
Trevor Lawrence,2024,25,JAX,26,119,3,QB,LawrTr00
Cooper Rush,2024,31,DAL,26,18,0,QB,RushCo00
Pierre Strong,2024,26,CLE,26,108,0,RB,StroPi00
Deshaun Watson,2023,28,CLE,26,142,1,QB,WatsDe00
Hassan Haskins,2022,23,TEN,25,93,0,RB,HaskHa00
Will Levis,2023,24,TEN,25,57,1,QB,LeviWi00
Jordan Love,2024,26,GNB,25,83,1,QB,LoveJo03
Anthony Richardson,2023,21,IND,25,136,4,QB,RichAn03
Mason Rudolph,2024,29,TEN,25,106,1,QB,RudoMa00
Jameis Winston,2024,30,CLE,25,83,1,QB,WinsJa00
Mike Boone,2022,27,DEN,24,102,0,RB,BoonMi00
Derek Carr,2022,31,LVR,24,102,0,QB,CarrDe02
Emari Demercado,2024,25,ARI,24,223,1,RB,DemeEm00
Trestan Ebner,2022,23,CHI,24,54,0,RB,EbneTr00
Nyheim Hines,2022,26,BUFIND,24,33,1,RB,HineNy00
Ke'Shawn Vaughn,2023,26,TAM,24,42,0,RB,VaugKe00
Tyson Bagent,2023,23,CHI,23,109,2,QB,BageTy00
Raheem Blackshear,2022,23,CAR,23,77,3,RB,BlacRa00
Kirk Cousins,2024,36,ATL,23,0,0,QB,CousKi00
Jimmy Garoppolo,2022,31,SFO,23,33,2,QB,GaroJi00
Damien Harris,2023,26,BUF,23,94,1,RB,HarrDa06
Craig Reynolds,2022,26,DET,23,102,0,RB,ReynCr00
Tua Tagovailoa,2022,24,MIA,23,70,0,QB,TagoTu00
Deuce Vaughn,2023,22,DAL,23,40,0,RB,VaugDe00
Israel Abanikanda,2023,21,NYJ,22,70,0,RB,AbanIs00
Salvon Ahmed,2023,25,MIA,22,61,1,RB,AhmeSa01
Julius Chestnut,2024,24,TEN,22,102,0,RB,ChesJu00
Dontrell Hilliard,2022,27,TEN,22,145,0,RB,HillDo00
J.D. McKissic,2022,29,WAS,22,95,0,RB,McKiJ.00
La'Mical Perine,2023,25,KAN,22,77,0,RB,PeriLa00
Brock Purdy,2022,23,SFO,22,13,1,QB,PurdBr00
Ronnie Rivers,2024,25,LAR,22,99,0,RB,RiveRo01
Aaron Rodgers,2024,41,NYJ,22,107,0,QB,RodgAa00
Carson Wentz,2022,30,WAS,22,86,1,QB,WentCa00
Avery Williams,2022,24,ATL,22,109,1,RB,WillAv02
Sam Darnold,2023,26,SFO,21,15,1,QB,DarnSa00
Jerick McKinnon,2023,31,KAN,21,60,1,RB,McKiJe00
Aidan O'Connell,2024,26,LVR,21,30,1,QB,OConAi00
Matthew Stafford,2023,35,LAR,21,65,0,QB,StafMa00
Dorian Thompson-Robinson,2024,25,CLE,21,122,0,QB,ThomDo02
Darrel Williams,2022,27,ARI,21,102,1,RB,WillDa10
Jeff Driskel,2022,29,HOU,20,75,0,QB,DrisJe00
Jimmy Garoppolo,2023,32,LVR,20,39,0,QB,GaroJi00
Jamycal Hasty,2024,28,NWE,20,69,0,RB,HastJa02
Jordan Mims,2024,25,NOR,20,70,0,RB,MimsJo00
Samaje Perine,2024,29,KAN,20,92,1,RB,PeriSa00
Jayden Reed,2024,24,GNB,20,163,1,WR,ReedJa03
Boston Scott,2023,28,PHI,20,86,0,RB,ScotBo02
